time_list,event_list,m1_list,m2_list,id1_list,id2_list,id3_list,id4_list,P_list,id1_ej,id2_ej,time_list_escape,id1_list_escape,id2_list_escape
32695.0,EXCHANGE,,,159191,23052,23052.0,119272.0,,,,,,
34234.0,BH ESCAPE,18.7,10.3,23052,119272,,,150.0,23052.0,119272.0,34234.0,23052.0,119272.0
40202.0,EXCHANGE,,,70657,166318,166318.0,60414.0,,,,,,
41479.0,EXCHANGE,,,5720,104983,104983.0,70657.0,,,,,,
41714.0,EXCHANGE,,,104983,70657,104983.0,166318.0,,,,,,
42939.0,EXCHANGE,,,104983,166318,166318.0,159191.0,,,,,,
45445.0,EXCHANGE,,,159191,70657,159191.0,5720.0,,,,,,
47342.0,BH ESCAPE,9.7,7.9,159191,5720,,,140.0,159191.0,5720.0,47342.0,159191.0,5720.0
51507.0,MERGE,13.21,,104983,163177,,,,,,,,
52205.0,EXCHANGE,,,104983,70657,70657.0,29650.0,,,,,,
52360.0,EXCHANGE,,,104983,110088,104983.0,70657.0,,,,,,
